"from","to"
"Altered Gravity","Bone Resorption"
"Astronaut Selection","Individual Factors"
"Bisphosphonates","Bone Formation"
"Bisphosphonates","Bone Resorption"
"Bone Formation","Urine Chemistry"
"Bone Resorption","Urine Chemistry"
"CO2 Physiologic Changes","Urine Chemistry"
"Crew Capability","Task Performance"
"Crew Health and Performance System","Medical Monitoring Capability"
"Crew Health and Performance System","Medical Prevention Capability"
"Crew Health and Performance System","Medical Treatment Capability"
"Crew Health and Performance System","Resistive Exercise"
"Detect MRM/Stone","Ultrasound Manipulation"
"Distance from Earth","Vehicle Design"
"Evacuation","Loss of Crew Life"
"Evacuation","Loss of Mission Objectives"
"HSI Processes","Crew Health and Performance System"
"HSI Processes","Vehicle Design"
"Hostile Closed Environment","Hydration"
"Humidity","Hydration"
"Hydration","Urine Concentration"
"Hydronephrosis","Renal Colic"
"Hydronephrosis","Renal Failure"
"Individual Factors","Nephrolithiasis"
"Individual Readiness","Crew Capability"
"Infection","Evacuation"
"Infection","Individual Readiness"
"Infection","Long Term Health Outcomes"
"Infection","Loss of Crew Life"
"Infection","Renal Colic"
"Infection","Renal Failure"
"Infection","Sepsis"
"K+ Citrate","Urine Chemistry"
"Long Term Health Outcomes","Detect Long Term Health Outcomes"
"Loss of Mission Objectives","Loss of Mission"
"Medical Monitoring Capability","Ultrasound"
"Medical Prevention Capability","Bisphosphonates"
"Medical Prevention Capability","Bone Resorption"
"Medical Prevention Capability","K+ Citrate"
"Medical Prevention Capability","Thiazides"
"Medical Prevention Capability","Urine Chemistry"
"Medical Treatment Capability","Medications"
"Medical Treatment Capability","Percutaneous Nephrostomy"
"Medical Treatment Capability","Tamsulosin"
"Medical Treatment Capability","Ultrasound Manipulation"
"Medications","Evacuation"
"Medications","Individual Readiness"
"Medications","Infection"
"Medications","Long Term Health Outcomes"
"Medications","Loss of Crew Life"
"Microbiome","Urine Chemistry"
"Mineralized Renal Material","Detect MRM/Stone"
"Mineralized Renal Material","Nephrolithiasis"
"Nephrolithiasis","Detect MRM/Stone"
"Nephrolithiasis","Flight Recertification"
"Nephrolithiasis","Ureterolithiasis"
"Nutrients","Bone Resorption"
"Percutaneous Nephrostomy","Infection"
"Pharmaceutical Effectiveness","Medical Prevention Capability"
"Pharmaceutical Effectiveness","Medical Treatment Capability"
"Renal Colic","Individual Readiness"
"Renal Failure","Long Term Health Outcomes"
"Sepsis","Evacuation"
"Sepsis","Individual Readiness"
"Sepsis","Loss of Crew Life"
"Sepsis","Renal Failure"
"Surveillance","Detect Long Term Health Outcomes"
"Tamsulosin","Urine Flow"
"Task Performance","Loss of Mission Objectives"
"Thiazides","Urine Chemistry"
"Ultrasound","Detect MRM/Stone"
"Ultrasound","Percutaneous Nephrostomy"
"Ultrasound Manipulation","Ureterolithiasis"
"Ureterolithiasis","Urine Flow"
"Urinary Retention","Urine Flow"
"Urine Chemistry","Mineralized Renal Material"
"Urine Concentration","Urine Chemistry"
"Urine Flow","Hydronephrosis"
"Urine Flow","Infection"
"Vehicle Design","Crew Health and Performance System"
"Vehicle Design","Humidity"
"Water Intake","Hydration"
"Water Intake","Urine Flow"
